name_vi,name_en,cas,formula,appendix,group_no,table_ref,threshold_kg,loai
"1,3-Butadien","1,3-Butadiene",106-99-0,C4H6,II,1,,,
"1,3-Diamino benzen","1,3-Diamino benzene",108-45-2,C6H8N2,II,1,,,
"1,3-Diclo propanol-2","1,3-Dichloro propan-2-ol",96-23-1,C3H6Cl2O,II,1,,,
"1,3-Diclo propen","1,3-Dichloropropene",542-75-6,C3H4Cl2,II,1,,,
"1,3-Dinitro benzen","1,3-Dinitro benzene",99-65-0,C6H4N2O4,II,1,,,
"1,3-Propane sultone","1,3-Propane sultone",1120-71-4,C3H6O3S,II,1,,,
"1,4-Benzen diamin dihydroclorit","1,4-Benzene diamine dihydrochloride",624-18-0,C6H10Cl2N2,II,1,,,
"1,4-Benzo quinon","1,4-benzo quinone (p-benzoquinone)",106-51-4,C6H4O2,II,1,,,
"1,4-Butyn diol","1,4-Butynediol",110-65-6,C4H6O2,II,1,,,
"1,4-Diamino benzen","1,4-Diamino benzene",106-50-3,C6H8N2,II,1,,,
"1,4-Dietylen dioxit","1,4-Dioxane",123-91-1,C4H8O2,II,1,,,
"1,4-Hexadien","1,4-Hexadiene",592-45-0,C6H10,II,1,,,
"1,5,9-Xyclo dodecatrien","1,5,9-Cyclod odecatriene",4904-61-4,C12H18,II,1,,,
"1,5-Diclopentan","1,5-Dichloro pentane",628-76-2,C5H10Cl2,II,1,,,
"1,5-Hexadien","1,5-Hexadiene",592-42-7,C6H10,II,1,,,
"1-(2,4-Diclo anilino cacbonyl) xyclopropan cacbonsaure","1-(2,4-Dichloranilinocarbonyl)cyclopropan carbonsaure",113136-77-9,C11H9Cl2NO3,II,1,,,
1-Brom butan,1-Bromo butane,109-65-9,C4H9Br,II,1,,,
1-Brom propan,1-Propyl bromide,106-94-5,C3H7Br,II,1,,,
1-Bromo-2-ethoxy-etan,"Ethane, 1 -bromo-2-ethoxy-",592-55-2,C4H9BrO,II,1,,,
1-Bromo-2-metyl propan,1-Bromo-2-methylpropane,78-77-3,C4H9Br,II,1,,,
1-Bromo-3-metyl butan,1-Bromo-3- methyl butane,107-82-4,C5H11Br,II,1,,,
1-Clo propan,n-Propyl chloride,540-54-5,C3H7Cl,II,1,,,
"1-Clo-2,2,2-triflo etan","1 -Chloro-2,2,2-trifluoro ethane",75-88-7,C2H2ClF3,II,1,,,
1-Clo-2-clometyl-benzen,1-Chloro-2-chloromethyl-benzene,611-19-8,C7H6Cl2,II,1,,,
1-Clo-2-metyl benzen,1-chloro-2-methyl benzene,95-49-8,C7H7Cl,II,1,,,
1-Clo-2-nitrobenzen,1 -Chloro-2-nitrobenzene,88-73-3,C6H4ClNO2,II,1,,,
1-Clo-3-clometyl-benzen,1-Chloro-3-chloromethyl-benzene,620-20-2,C7H6Cl2,II,1,,,
1-Clo-3-metyl benzen,1-chloro-3-methyl benzene,108-41-8,C7H7Cl,II,1,,,
1-Clo-3-nitrobenzen,1-Chloro-3-nitrobenzene,121-73-3,C6H4ClNO2,II,1,,,
1-Clo-4-clometyl-benzen,1-Chloro-4-chloromethyl-benzene,104-83-6,C7H6Cl2,II,1,,,
1-Clo-4-metyl benzen,1-chloro-4-methyl benzene,106-43-4,C7H7Cl,II,1,,,
1-Etyl piperidin,1-Ethylpiperidine,766-09-6,C7H15N,II,1,,,
1-Hexanol,1-Hexanol,111-27-3,C6H14O,II,1,,,
1-Hexen,1-Hexene,592-41-6,C6H12,II,1,,,
1-Hydroxy-2-metyl benzen,1-Hydroxy-2-methylbenzene,95-48-7,C7H8O,II,1,,,
1-hydroxy-2-nitrobenzen,1-hydroxy-2-nitrobenzene,88-75-5,C6H5NO3,II,1,,,
1-Hydroxy-3-metyl benzen,1-Hydroxy-3-methyl benzene,108-39-4,C7H8O,II,1,,,
