name_vi,name_en,cas,formula,appendix,group_no,table_ref,threshold_kg,loai
Axit thioglycolic,Thioglycolic acid,68-11-1,C2H4O2S,II,1,,,
Axit triclo axetic,Trichloroacetic acid,76-03-9,C2HCl3O2,II,1,,,
Axit triclo isoxyanuric,Trichloro isocyanuric acid,87-90-1,C3Cl3N3O3,II,1,,,
Axit triflo axetic,Trifluoroacetic acid,76-05-1,C2HF3O2,II,1,,,
Bari,Barium,7440-39-3,Ba,II,1,,,
Bari bromic,Barium bromate,13967-90-3,Ba(BrO3)­2,II,1,,,
Bari clorat,Barium chlorate,13477-00-4,Ba(ClO3)2,II,1,,,
Bari hypoclorit,Barium hypochlorite,13477-10-6,Ba(ClHO)2,II,1,,,
Bari nitrat,Bari nitrate,10022-31-8,Ba(NO3)2,II,1,,,
Bari oxit,Barium oxide,1304-28-5,BaO,II,1,,,
Bari perclorat,Barium perchlorate,13465-95-7,Ba(ClO4)2,II,1,,,
Bari peroxit,Barium peroxide,1304-29-6,BaO2,II,1,,,
"Benz(a) anthracen (1,2-Benzoanthracen)","Benz(a) anthracene (1,2-Benzoanthracene)",56-55-3,C18H12,II,1,,,
Benzen sunphonyl clorua,Benzene sulfonyl chloride,98-09-9,C6H5ClO2S,II,1,,,
Benzo triclorua,Benzo trichloride,98-07-7,C7H5Cl3,II,1,,,
Benzo triflorua,Benzo trifluoride (Trifluorotoluene),98-08-8,C7H5F3,II,1,,,
Benzoyl clorua,Benzoyl chloride,98-88-4,C7H5ClO,II,1,,,
Benzoyl peroxit,Benzoyl peroxide,94-36-0,C14H10O4,II,1,,,
Benzyl dimetyl amin,Dimethyl benzyl amine,103-83-3,C9H13N,II,1,,,
Beta-hexaclo xyclohexan,Beta-hexachloro cyclohexane,319-85-7,C6H6Cl6,II,1,,,
Bis(3-aminopropyl) amin,Bis(3-aminopropyl) amine,56-18-8,C6H17N3,II,1,,,
Bis(clo metyl) ete,Bis(chloro methyl) ether,542-88-1,C2H4Cl2O,II,1,,,
Bis[tris(2-metyl-2-phenyl propyl)zinn] oxiy,Bis[tris(2-methyl-2-phenyl propyl)zinn] oxiy,13356-08-6,C60H78OSn2,II,1,,,
Bo tribromua,Boron tribromide,10294-33-4,BBr3,II,1,,,
Bo triflo dietyl etherat,Boron trifluoride diethyl etherate,109-63-7,C4H10BF3O,II,1,,,
Bo trifluorua,Boron trifluoride,,BF3,II,1,,,
Brom axeton,Bromo acetone,598-31-2,C3H5BrO,II,1,,,
Brom benzen,Bromobenzene,108-86-1,C6H5Br,II,1,,,
Brom clorua,Bromine monochloride,13863-41-7,BrCl,II,1,,,
Bromoform,Bromoform,75-25-2,CHBr3,II,1,,,
"Butan, 2-iot-","Butane, 2-iodo-",513-48-4,C4H9I,II,1,,,
Butenal,Crotonaldehyde,123-73-9,C4H6O,II,1,,,
Butyl acrylat,Butyl acrylate,141-32-2,C7H12O2,II,1,,,
Butyl benzene,Butyl benzene,104-51-8,C10H14,II,1,,,
Butyl mercaptan (Butanethiol),Butyl mercaptan (Butanethiol),109-79-5,C4H10S,II,1,,,
Butyl metyl ete,Butyl methyl ether,628-28-4,C5H12O,II,1,,,
Butyl nitrit,Butyl nitrite,544-16-1,C4H9NO2,II,1,,,
Butyl propionat,Butyl propionate,590-01-2,C7H14O2,II,1,,,
Butyl vinyl ete,Tert-Butyl vinyl ether,926-02-3,C6H12O,II,1,,,
Butyraldehit,Butyraldehyde,123-72-8,C4H8O,II,1,,,
Butyric anhydrit,Butyric anhydride,106-31-0,C8H14O3,II,1,,,
Butyronitril,Butyronitrile,109-74-0,C4H7N,II,1,,,
Butyryl clorua,Butyryl chloride,141-75-3,C4H7ClO,II,1,,,
Bạc nitrat,Silver nitrate,7761-88-8,AgNO3,II,1,,,
Bột nhôm,Aluminium powder,7429-90-5,Al,II,1,,,
Cacbon tetrabromit,Tetrabromomethane,558-13-4,CBr4,II,1,,,
Cacbonyl florua,Carbonyl fluoride,353-50-4,COF2,II,1,,,
Cadimi selenua,Cadmium selenide,1306-24-7,CdSe,II,1,,,
Cadimi tetraflo borat,Cadmium fluoro borate,14486-19-2,Cd(BF4)2,II,1,,,
Cadmi tellurua,Cadmium telluride,1306-25-8,CdTe,II,1,,,
Canxi,Calcium,7440-70-2,Ca,II,1,,,
Canxi cacbua,Calcium carbide,75-20-7,CaC2,II,1,,,
Canxi clorat,Calcium chlorate,10037-74-3,Ca(ClO3)2,II,1,,,
Canxi hypoclorua,Calcium hypochlorite,7778-54-3,Ca(ClO)2,II,1,,,
Canxi nitrat,Calcium nitrate,10124-37-5,Ca(NO3)2,II,1,,,
Canxi perclorat,Calcium perchlorate,13477-36-6,Ca(ClO4)2,II,1,,,
Canxi peroxit,Calcium peroxide,1305-79-9,CaO2,II,1,,,
Canxi resinat,Calcium resinate,9007-13-0,C40H58CaO4,II,1,,,
Canxi silicua,Calcium silicide,12013-56-8,CaSi2,II,1,,,
Carbon tetraclorit,Carbon tetrachloride,56-23-5,CCl4,II,1,,,
Ceri nitrat,Caesium nitrate,7789-18-6,CsNO3,II,1,,,
Ceri sắt,Ferrocerium,69523-06-4,,II,1,,,
"Chrysen (1,2-benzophenanthren)","Chrysen (1,2-benzophenanthrene)",218-01-9,C18H12,II,1,,,
Clo,Chlorine,7782-50-5,Cl2,II,1,,,
Clo axetandehit,2-Chloro acethanal,107-20-0,C2H3ClO,II,1,,,
Clo axeton,Chloroacetone,78-95-5,C3H5ClO,II,1,,,
Clo axetonitril,Chloroacetonitrile,107-14-2,C2H2ClN,II,1,,,
Clo axetophenon,Phenacyl chloride,532-27-4,C8H7ClO,II,1,,,
Clo benzo triflorua,Chlorobenzotri fluoride,88-16-4,C7H4ClF3,II,1,,,
Clo diflo brom metan,Bromo chlorodifluoro methane,353-59-3,CF2ClBr,II,1,,,
Clo metyl etyl ete,Chloromethyl ethyl ether,3188-13-4,C3H7ClO,II,1,,,
Clo rambucil,Chlo rambucil,305-03-3,C14H19CI2NO2,II,1,,,
Clo silan,Chlorosilane,13465-78-6,ClH3Si,II,1,,,
Clo triflorua,Chlorine trifluoride,7790-91-2,ClF3,II,1,,,
Cloanilin,Chlorobenzene,108-90-7,C6H5Cl,II,1,,,
Cloaxetyl clorua,Chloroacetyl chloride,79-04-9,C2H2Cl2O,II,1,,,
Clopyralit,Clopyralid,1702-17-6,C6H3Cl2NO2,II,1,,,
Clorpyrifos,Chlorpyrifos,2921-88-2,C9H11Cl3NO3PS,II,1,,,
Coban (II) naphthenat,Cobalt (II) naphthenate,61789-51-3,C22H16CoO4,II,1,,,
Cumen,Cumene,98-82-8,C9H12,II,1,,,
Cyanazin,Cyanazine,21725-46-2,C9H13ClN6,II,1,,,
Decahydro naphathalen,Decahydronaphthalene,91-17-8,C10H18,II,1,,,
Demeton,Demeton,126-75-0,C8H19O3PS2,II,1,,,
"Demeton-s-metyl (S-2-Etyl thioetyl O, O-dimetyl photphorothioat)","Demeton-s-methyl (S-2-Ethyl thioethyl O, O-dimethyl phosphorothioate)",919-86-8,C6H15O3PS2,II,1,,,
Di butyl oxit thiếc,Dibultyltin oxide,818-08-6,C8H18OSn,II,1,,,
Di-n-amyl amin,Di-n-amyl amine,2050-92-2,C10H23N,II,1,,,
Di-n-butyl amin,Dibutyl amine,111-92-2,C8H19N,II,1,,,
Di-n-propyl ete,Di-n-propyl ether,111-43-3,C6H14O,II,1,,,
Diallyl ete,Diallylether,557-40-4,C6H10O,II,1,,,
Diallylamin,Diallylamine,124-02-7,C6H11N,II,1,,,
Diazinon,Diazinon,333-41-5,C12H21N2O3PS,II,1,,,
Diazometan,Diazomethane,334-88-3,CH2N2,II,1,,,
Dibutyl amino etanol,Dibutyl amino ethanol,102-81-8,C10H23NO,II,1,,,
Dibutyl ete,Dibutyl ether,142-96-1,C8H18O,II,1,,,
Diclo axetyl clorua,Dichloro acetyl chloride,79-36-7,C2HCl3O,II,1,,,
Dicrom tris(­cromat),Dichromium tris(chromate),24613-89-6,Cr2(CrO4)3,II,1,,,
Dicrotophos,Dicrotophos ((E)-2-Dimethyl carbamoyl-1-methyl vinyl dimethyl phosphate),141-66-2,C8H16NO5P,II,1,,,
Dietoxymetan,Diethoxy methane,462-95-3,C5H12O2,II,1,,,
Dietyl aminopropyl amin,Diethyl aminopropyl amine,109-55-7,C5H14N2,II,1,,,
Dietyl bezen,Diethyl benzene,25340-17-4,C10H14,II,1,,,
Dietyl cacbonat (etyl cacbonat),Diethyl cacbonate (ethyl carbonate),105-58-8,C5H10O3,II,1,,,
Dietyl diclo silan,Diethyl dichloro silane,1719-53-5,C4H10Cl2Si,II,1,,,
Dietyl kẽm,Diethylzinc,557-20-0,C4H10Zn,II,1,,,
Dietyl phthalat (DEP）,Diethyl phthalate (DEP）,84-66-2,C12H14O4,II,1,,,
Dietyl sunfit,Diethyl sulfide,352-93-2,C4H10S,II,1,,,
Dietyl thiophotphoryl clo,Diethylthiophosphoryl chloride,,C4H10ClO2PS,II,1,,,
Dietylen triamin,Diethylene triamine,111-40-0,C4H13N3,II,1,,,
Diflo metan,Difluoromethane,75-10-5,CH2F2,II,1,,,
Diisobutyl keton,Diisobutyl ketone,108-83-8,C9H18O,II,1,,,
Diisobutyllen,Diisobutylene,107-39-1,C8H16,II,1,,,
Diisopropyl ete,Diisopropyl ether,108-20-3,C6H14O,II,1,,,
Diisopropyla min,Diisopropyl amine,108-18-9,C6H15N,II,1,,,
Diketen (3-Butenoic axit),Diketene (3-Butenoic acid),674-82-8,C4H4O2,II,1,,,
"Dimetyl 2,3,5,6-tetraclo benzen-1,4-dicacboxylat","Dimethyl 2,3,5,6-tetrachloro benzene-1,4-dicarboxylate",1861-32-1,C10H6Cl4O4,II,1,,,
Dimetyl amin carbonyl clorua,Dimethyl carbamoyl chloride,79-44-7,C3H6CINO,II,1,,,
Dimetyl amino axeto nitril,Dimethyl amino aceto nitril,926-64-7,C4H8N2,II,1,,,
Dimetyl axetylen,Dimethyl acetylene,503-17-3,C4H6,II,1,,,
Dimetyl cacbon,Dimethyl carbonate,616-38-6,C3H6O3,II,1,,,
Dimetyl dietoxy silan,Dimethyl diethoxy silane,78-62-6,C6H16O2Si,II,1,,,
Dimetyl disunfit,Dimethyl disulfide,624-92-0,C2H6S2,II,1,,,
Dimetyl kẽm,Dimethyl zinc,544-97-8,C2H6Zn,II,1,,,
Dimetyl nitro amin,Dimethyl nitros amine,62-75-9,C2H6N2O,II,1,,,
Dimetyl sunfit,Dimethyl sulfide,75-18-3,C2H6S,II,1,,,
Dimetyl thiophotphoryl clorua,Dimethyl thiophosphoryl chloride,2524-03-0,C2H6ClO2PS,II,1,,,
"Dimetyl-1,2-dibrom-2,2-diclo etyl photphat","Dimethyl-1,2-dibromo-2,2-dichlorethyl phosphate",300-76-5,C4H7Br2Cl2O4P,II,1,,,
"Dinitro toluen (2,4-DNT)","2,4-Dinitro toluene (2,4-DNT)",121-14-2,C7H6N2O4,II,1,,,
Dinitro toluen (hỗn hợp đồng phân),Dinitro toluene (mixed isomers),25321-14-6,C7H6N2O4,II,1,,,
Dinitơ tetraoxit,Dinitrogen tetroxide,10544-72-6,N2O4,II,1,,,
Dioxathion (hỗn hợp đồng phân),Dioxathion (isomer mixture),78-34-2,C12H26O6P2S4,II,1,,,
Dioxolan,Dioxolane,646-06-0,C3H6O2,II,1,,,
Diphenyl diclo silan,Diphenyl dichloro silane,80-10-4,C12H10Cl2Si,II,1,,,
Dipropyl amin,Dipropylamine,142-84-7,C6H15N,II,1,,,
Dipropyl keton,Dipropyl ketone,123-19-3,C7H14O,II,1,,,
Dixyclohexyl amin,Dicyclo hexylamine,101-83-7,C12H23N,II,1,,,
Dixyclopentadien,Dicyclo pentadiene,77-73-6,C10H12,II,1,,,
Epibrom hydrin,Epibromo hydrin,3132-64-7,C3H5BrO,II,1,,,
Etanol amin,Ethanolamine,141-43-5,C2H7NO,II,1,,,
Ethalfluralin,Ethafluralin,55283-68-6,C13H14F3N3O4,II,1,,,
Ethoxy sunfuron,Ethoxysulfuron,126801-58-9,C15H18N4O7S,II,1,,,
Etyl 2-clo propionat,Ethyl 2-chloropropionate,535-13-7,C5H9ClO2,II,1,,,
Etyl acrylat,Ethyl acrylate,140-88-5,C5H8O2,II,1,,,
Etyl amyl keton,Ethyl amyl ketone,541-85-5,C8H16O,II,1,,,
Etyl axetat,Ethyl acetate,141-78-6,C4H8O2,II,1,,,
Etyl brom axetat,Ethyl bromoacetate,105-36-2,C4H7BrO2,II,1,,,
Etyl bromua,Bromoethane,74-96-4,C2H5Br,II,1,,,
Etyl butyl ete,Ethyl butyl ether,628-81-9,C6H14O,II,1,,,
Etyl cacbamat,Ethyl carbamate,51-79-6,C3H7NO2,II,1,,,
Etyl clo axetat,Ethyl chloracetate,105-39-5,C4H7ClO2,II,1,,,
Etyl clo thioformat,Ethyl chlorothioformate,142-62-1,C6H12O2,II,1,,,
Etyl diclo silan,Ethyldichlorosilane,1789-58-8,C2H6Cl2Si,II,1,,,
Etyl format,Ethyl formate,109-94-4,C3H6O2,II,1,,,
Etyl isobutyrat,Ethyl isobutyrate,97-62-1,C6H12O2,II,1,,,
Etyl lactat,Ethyl lactate,687-47-8,C5H10O3,II,1,,,
Etyl metacrylat,Ethyl methacrylate,97-63-2,C6H10O2,II,1,,,
Etyl orthoformat,Ethyl orthoformate,122-51-0,C7H16O3,II,1,,,
Etyl propionat,Ethyl propionate,105-37-3,C5H10O2,II,1,,,
Etyl propyl ete,Ethyl propyl ether,628-32-0,C5H12O,II,1,,,
Etyl trans-crotonat,Ethyl trans-crotonate,623-70-1,C6H10O2,II,1,,,
Etyl triclo silan,Ethyltrichlorosilane,115-21-9,C2H5Cl3Si,II,1,,,
"Etyl-(Z)-2-clo-3-(2-clo-5-(xyclohex-1-en-1,2-dicacbox-imido)phenyl) acrylat","Ethyl-(Z)-2-chlor-3-(2-chlor-5-(cyclohex-1-en-1,2-dicarbox-imido)phenyl) acrylate",142891-20-1,C19H17Cl2NO4,II,1,,,
"Etyl-3-​(3,5-​diclophenyl)​-​5-metyl-​2,4-​dioxo-​5-​oxazolidin cacboxylat","Ethyl-3-​(3,5-​dichlorphenyl)​-​5-methyl-​2,4-​dioxo-​5-​oxazolidincarboxylat",84332-86-5,C13H11Cl2NO5,II,1,,,
"Etyl-N-[(2,3-dihydro-2,2-dimetyl-7-benzo furanyloxy-cacbonyl) metylaminothio]-N-isopropyl-beta-alaninat","Ethyl-N-[(2,3-dihydro-2,2-dimethyl-7-benzofuranyloxy-carbonyl) methylaminothio]-N-isopropyl-beta-alaninat",82560-54-1,C20H30N2O5S,II,1,,,
Etylen,Ethylene,74-85-1,C2H4,II,1,,,
Etylen imin,Ethylen imine,151-56-4,C2H5N,II,1,,,
Etylen thiourea,Ethylene thiourea,96-45-7,C3H6N2S,II,1,,,
Fenarimol,Fenarimol,60168-88-9,C17H12Cl2N2O,II,1,,,
Fenthion,Fenthion,55-38-9,C10H15O3PS2,II,1,,,
Flo anilin,Fluoro aniline,348-54-9,C6H6NF,II,1,,,
Flo benzen,Fluorobenzene,462-06-6,C6H5F,II,1,,,
Flo percloryl,Perchloryl fluoride,7616-94-6,FClO3,II,1,,,
Flufenoxuron,Flufenoxuron,101463-69-8,C21H11ClF6N2O3,II,1,,,
Flurprimidol,Flurprimidol,56425-91-3,C15H15F3N2O2,II,1,,,
Fumaryl clorua,Fumaryl chloride,627-63-4,C4H2Cl2O2,II,1,,,
Furfuryl alcohol,Furfuryl alcohol,98-00-0,C5H6O2,II,1,,,
Furfurylamin,Furfurylamine,617-89-0,C5H7NO,II,1,,,
Gali,Gallium,7440-55-3,Ga,II,1,,,
Glycerol alpha-monoclo hydrin,Glycerol alpha-monochlorohydrin,96-24-2,C3H7ClO2,II,1,,,
Glycidaldehit,Glycidaldehyde,765-34-4,C3H4O2,II,1,,,
Guanidin nitrat,Guanidine nitrate,506-93-4,CH6N4O3,II,1,,,
Heli,Helium,7440-59-7,He,II,1,,,
Hexabrom xyclododecan,Hexabromo cyclododecane,134237-50-6,C12H18Br6,II,1,,,
Hexaclo butadien,Hexachloro butadiene,87-68-3,C4Cl6,II,1,,,
Hexaclo xyclopentadien,Hexachloro cyclopentadiene,77-47-4,C5Cl6,II,1,,,
Hexaclophen,Hexachlorophene,70-30-4,C13H6Cl6O2,II,1,,,
Hexadecyltriclo silan,Hexadecyltrichloro silane,5894-60-0,C16H33Cl3Si,II,1,,,
Hexaflo axeton hydrat,Hexafluoroacetone,684-16-2,C3OF6,II,1,,,
Hexahydro phthalic anhydrit,Hexahydrophthalic anhydride,85-42-7,C8H10O3,II,1,,,
Hexahydro-4-metyl phthalic anhydrit,Hexahydro-4-methylphthalic anhydride,19438-60-9,C9H12O3,II,1,,,
Hexahydromethyl phthalic anhydrit,Hexahydromethyl phthalic anhydride,25550-51-0,C9H12O3,II,1,,,
Hexaldehit,Hexanal,66-25-1,C6H12O,II,1,,,
Hexametyl photpho amit,Hexamethyl phosphoro amide,680-31-9,C6H18N3OP,II,1,,,
Hexametylen diamin,Hexa methylene diamine,124-09-4,C6H16N2,II,1,,,
Hexametylen tetramin,Hexametylentetramine,100-97-0,C6H12N4,II,1,,,
Hexametylenimin,Hexamethyleneimine,111-49-9,C6H13N,II,1,,,
Hydro,Hydrogen,1333-74-0,H2,II,1,,,
Hydro bromua,Hydrogen bromide,10035-10-6,HBr,II,1,,,
Hydro florua,Hydrogen fluoride,7664-39-3,HF,II,1,,,
Hydro iođua,Hydrogen iodide,10034-85-2,HI,II,1,,,
Hydro peroxit,Hydrogen peroxide,7722-84-1,H2O2,II,1,,,
Hydro selenua,Hydrogen selenide,,H2Se,II,1,,,
Hydro sunphua,Hydrogen sulphide,,H2S,II,1,,,
Hydroxy axeto nitril,Hydroxy aceto nitrile (glycolonitrile),107-16-4,C2H3NO,II,1,,,
Hydroxyl amin,Hydroxylamine,7803-49-8,H3NO,II,1,,,
Hydroxyl amin sunphat,Hydroxyl ammonium sulfate,10039-54-0,(NH3OH)2SO4,II,1,,,
Hydroxylamin hydroclorua,Hydroxylamine hydrochloride,,H3NOHCl,II,1,,,
"Hỗn hống kim loại kiềm, kiềm thổ",Amalgam,,,II,1,,,
Hợp chất Triorganostannic khác với tributyl thiếc,Triorganostannic compounds other than tributyltin compounds,,,II,1,,,
Iot,Iodine,7553-56-2,I2,II,1,,,
Iot axetyl,Acetyl iodide,507-02-8,C2H3IO,II,1,,,
Iot metyl propan,Iodomethylpropane,513-38-2,C4H9I,II,1,,,
Iot pentaflorua,Iodine pentafluoride,7783-66-6,IF5,II,1,,,
Iso-Amyl nitrite,Iso-Amyl nitrite,110-46-3,C5H11NO2,II,1,,,
Isobutanol,Isobutanol,78-83-1,C4H10O,II,1,,,
Isobutyl acrylat,Isobutyl acrylate,106-63-8,C7H12O2,II,1,,,
Isobutyl axetat,Isobutyl acetate,110-19-0,C6H12O2,II,1,,,
Isobutyl format,Isobutyl formate,542-55-2,C5H10O2,II,1,,,
Isobutyl isobutyrat,Isobutyl isobutyrate,97-85-8,C8H16O2,II,1,,,
Isobutyl metacrylat,Isobutyl methacrylate,97-86-9,C8H14O2,II,1,,,
Isobutyl propionat,Isobutyl propionate,540-42-1,C7H14O2,II,1,,,
Isobutylamin,Isobutylamine,78-81-9,C4H11N,II,1,,,
Isobutyraldehit,Isobutyraldehyde,78-84-2,C4H8O,II,1,,,
Isobutyric anhydrit,Isobutyric anhydride,97-72-3,C8H14O3,II,1,,,
Isobutyryl chlorit,Isobutyryl chloride,79-30-1,C4H7ClO,II,1,,,
Isohexen,Isohexene,691-37-2,C6H12,II,1,,,
Isooctan,Isooctene,11071-47-9,C8H16,II,1,,,
Isopenten,Isopentene,513-35-9,C5H10,II,1,,,
Isophoron diamin,Isophorone diamine,2855-13-2,C9H18N2O,II,1,,,
Isopropanol,Isopropyl alcohol,67-63-0,C3H8O,II,1,,,
Isopropenyl axetat,Isopropenyl acetate,108-22-5,C5H8O2,II,1,,,
Isopropenyl benzen,Isopropenyl benzene,98-83-9,C9H10,II,1,,,
Isopropyl axetat,Isopropyl acetate,108-21-4,C5H10O2,II,1,,,
Isopropyl butyrat,Isopropyl butyrate,638-11-9,C7H14O2,II,1,,,
Isopropyl cloaxetat,Isopropyl chloroacetate,105-48-6,C5H9ClO2,II,1,,,
Isopropyl isobutyrat,Isopropyl isobutyrate,617-50-5,C7H14O2,II,1,,,
Isopropyl nitrat,Isopropyl nitrate,1712-64-7,C3H7NO3,II,1,,,
Isopropyl propionat,Isopropyl propionate,637-78-5,C6H12O2,II,1,,,
Kali,Potassium,,K,II,1,,,
Kali bisulfat,Potassium hydrogen sulfate,7646-93-7,KHSO4,II,1,,,
Kali bromat,Potassium bromate,,KBrO3,II,1,,,
Kali florua,Potassium fluoride,7789-23-3,KF,II,1,,,
Kali hexaclo platinat (IV),Potassium hexachloro platinate (IV),16921-30-5,K2PtCl6,II,1,,,
Kali hexaflo silicat,Potassium hexafluoro silicate,16871-90-2,K2SiF6,II,1,,,
Kali hydroxit,Potassium hydroxide,1310-58-3,KOH,II,1,,,
Kali monoxit,Potassium oxide,12136-45-7,K2O,II,1,,,
Kali nitrit,Potassium nitrite,7758-09-0,KNO2,II,1,,,
Kali persunphat,Potassium persulfate,7727-21-1,K2S2O8,II,1,,,
Krypton,Krypton,7439-90-9,Kr,II,1,,,
Kẽm clorua,Zinc chloride,7646-85-7,ZnCl2,II,1,,,
Kẽm fluorosilicate,Zinc fluorosilicate,16871-71-9,ZnSiF6,II,1,,,
Kẽm hydrua,Zirconium (II) hydride,7704-99-6,ZrH2,II,1,,,
Kẽm nitrat,Zinc nitrate,7779-88-6,Zn(NO3)2,II,1,,,
Kẽm permanganat,Zinc permanganate,23414-72-4,Zn(MnO4)2,II,1,,,
Kẽm peroxit,Zinc peroxide,1314-22-3,ZnO2,II,1,,,
Kẽm photphua,Zinc phosphide,1314-84-7,Zn3P3,II,1,,,
Liti,Lithium,7439-93-2,Li,II,1,,,
Liti hypoclorua,Lithium hypochlorite,13840-33-0,LiClO,II,1,,,
Liti peroxit,Lithium peroxide,12031-80-0,Li2O2,II,1,,,
lod monoclorua,Iodine monochloride,7790-99-0,ICl,II,1,,,
Lưu huỳnh,Sulfur,7704-34-9,S,II,1,,,
Lưu huỳnh dioxit,Sulfur dioxide,,SO2,II,1,,,
Lưu huỳnh hexaflorua,Sulfur hexafluoride,2551-62-4,SF6,II,1,,,
m-Flo toluen,m-Fluoro toluene,352-70-5,C7H7F,II,1,,,
m-Xylen,m-Xylene,108-38-3,C8H10,II,1,,,
Magan nitrat,Manganese (II) nitrate,10377-66-9,Mn (NO3)2,II,1,,,
Magie,Magnesium,7439-95-4,Mg,II,1,,,
Magie nitrat,Magnesium nitrate,10377-60-3,Mg(NO3)2,II,1,,,
Magie peclorat,Magnesium perchlorate,10034-81-8,Mg(ClO4)2,II,1,,,
Magie peroxit,Magnesium peroxide,1335-26-8,MgO2,II,1,,,
Magie silicua,Magnesium silicide,22831-39-6,Mg2Si,II,1,,,
"Maned (cacbamodithioic axit, N, N -1,2-etan diylbis-mangan (2+) muối (1:1))","Maned (carbamodithioic acid, N, N -1,2-ethanediylbis-manganese (2+) salt (1:1))",12427-38-2,C4H6MnN2S4,II,1,,,
Mangan resinat,Manganese resinate,9008-34-8,C41H58O4Mg,II,1,,,
Mesityl oxit,Mesityl oxide,141-79-7,C6H10O,II,1,,,
Metacryl aldehit,Methacryl aldehyde,78-85-3,C4H6O,II,1,,,
Metaldehit,Metaldehyde,108-62-3,C8H16O4,II,1,,,
Methallyl alcohol,Methallyl alcohol,513-42-8,C4H8O,II,1,,,
Methomyl,Methomyl,16752-77-5,C5H10O2N2S,II,1,,,
Metyl 2-clo propionat,Methyl 2-chloropropionate,17639-93-9,C4H7ClO2,II,1,,,
Metyl axetat,Methyl acetate,79-20-9,C3H6O2,II,1,,,
Metyl bromit,Bromom ethane,74-83-9,CH3Br,II,1,,,
Metyl butyrat,Methyl n-butyrate,623-42-7,C5H10O2,II,1,,,
Metyl clo axetat,Methyl chloroacetate,96-34-4,C3H5ClO2,II,1,,,
Metyl diclo silan,Methyldichlorosilane,75-54-7,CH4Cl2Si,II,1,,,
Metyl hydrazin,"Methyl hydrazine (Hydrazine, methyl-)",60-34-4,CH6N2,II,1,,,
Metyl isobutyl carbinol,Methyl isobutyl carbinol,108-11-2,C6H14O,II,1,,,
Metyl isobutyl keton,Methyl isobutyl ketone,108-10-1,C6H12O,II,1,,,
Metyl isopropenyl keton,Methyl isopropenyl ketone,563-80-4,C5H10O,II,1,,,
Metyl isovalerat,Methyl isovalerate,556-24-1,C6H12O2,II,1,,,
Metyl lotua,Iodomethane,74-88-4,CH3I,II,1,,,
Metyl metacrylat,Methyl methacrylate,80-62-6,C5H8O2,II,1,,,
Metyl pentadien,Methyl pentadiene,926-56-7,C6H10,II,1,,,
Metyl phenyl diclosilan,Methyl phenyldichloro silane,149-74-6,C7H8Cl2Si,II,1,,,
Metyl propionat,Methyl propionate,554-12-1,C4H8O2,II,1,,,
Metyl propyl ete,Methyl propyl ether,557-17-5,C4H10O,II,1,,,
Metyl tert-butyl ete,Methyl tert-butyl ether,1634-04-4,C5H12O,II,1,,,
Metyl xyclo hexanol,Methylcyclohexanol,25639-42-3,C7H14O,II,1,,,
Metyl xyclohexan,Methylcyclohexane,108-87-2,C7H14,II,1,,,
Metyl xyclopentan,Methyl cyclopentane,96-37-7,C6H12,II,1,,,
Metylal,Dimethoxymethane,109-87-5,C3H8O2,II,1,,,
Metylallyl clo,Methyl allyl chloride,563-47-3,C4H7Cl,II,1,,,
Metylamyl axetat,Methylamyl acetate,108-84-9,C8H16O2,II,1,,,
Monometyl-dibrom-diphenyl metan,Monomethyl-dibromo-diphenyl methane (Trade name: DBBT),99688-47-8,C14H12Br2,II,1,,,
Monometyl-Tetraclodiphenyl metan,Monomethyl-Tetrachlorodiphenyl methane (Trade name: Ugilec 141),76253-60-6,C14H12Cl4,II,1,,,
Morpholin,Morpholine,110-91-8,C4H9NO,II,1,,,
"N, N'-[(Metylimino) dimetylidyn]di-2,4-xylidin","N, N'-[(Methylimino) dimethylidyne]di-2,4-xylidine",33089-61-1,C19H23N3,II,1,,,
"N, N-Dimetyl anilin","N, N-Dimethylaniline",121-69-7,C8H11N,II,1,,,
"N,N-dietyl amino etanol","N, N-Diethylaminoetanol",100-37-8,C6H15NO,II,1,,,
"N,N-Dietyl etylen diamin","N, N-Diethylethylene diamine",100-36-7,C6H16N2,II,1,,,
"N,N-dimetyl amino etanol và các muối proton hóa chất tương ứng","N, N -Dimetylaminoethanol",108-01-0,C4H11NO,II,1,,,
"N,N-dimetyl-p-toluidin","N,N-Dimethyl-p-toluidine",99-97-8,C9H13N,II,1,,,
N- butyl clorua,n-Butylchloride,109-69-3,C4H9Cl,II,1,,,
N-(Methoxy-metyl sunfanyl photphoryl) axetamit,N-(Methoxy-methyl sulfanylphosphoryl)acetamide,30560-19-1,C4H10NO3PS,II,1,,,
N-amino etyl piperazin,N-Amino ethyl piperazine,140-31-8,C6H15N3,II,1,,,
n-Amyl clo,n-Amyl chloride,543-59-9,C5H11Cl,II,1,,,
N-amylamin,Pentylamine,110-58-7,C5H13N,II,1,,,
n-Butanol,n-Butanol,71-36-3,C4H10O,II,1,,,
n-Butyl axetat,n-Butyl acetate,123-86-4,C6H12O2,II,1,,,
N-butyl clo format,N-Butyl chloroformate,592-34-7,C5H9ClO2,II,1,,,
N-butyl format,N-Butyl formate,592-84-7,C5H10O2,II,1,,,
N-butyl metacrylat,N-Butyl methacrylate,97-88-1,C8H14O2,II,1,,,
n-Butyl triclo silan,n-Butyltrichlorosilane,7521-80-4,C4H9Cl3Si,II,1,,,
